"STEIG_ID";"FK_LINIEN_ID";"FK_HALTESTELLEN_ID";"RICHTUNG";"REIHENFOLGE";"RBL_NUMMER";"BEREICH";"STEIG";"STEIG_WGS84_LAT";"STEIG_WGS84_LON";"STAND"
214688219;214432881;214550430;"H";1;"";"";"";48.1598050642344;15.6348810760565;""
214688220;214432881;214468152;"H";2;"";"";"";48.1607758010986;15.6384833203458;""
214688221;214432881;214468152;"H";3;"";"";"";48.1607758010986;15.6384833203458;""
214688222;214432881;214468125;"H";4;"";"";"";48.1579893774575;15.6402080856913;""
214688223;214432881;214469212;"H";5;"";"";"";48.1556163038065;15.6400194394817;""
214688224;214432881;214468126;"H";6;"";"";"";48.1509117803202;15.6417621711329;""
214688225;214432881;214468127;"H";7;"";"";"";48.1454575890636;15.6406033444164;""
214688226;214432881;214468128;"H";8;"";"";"";48.1389777360724;15.6401991025385;""
214688227;214432881;214469213;"H";9;"";"";"";48.1338700044809;15.637171780031;""
214688228;214432881;214468129;"H";10;"";"";"";48.1323771559859;15.634288187969;""
214688229;214432881;214468130;"H";11;"";"";"";48.1235990485196;15.6323029111911;""
214688230;214432881;214468487;"H";12;"";"";"";48.1319214988042;15.6229424659306;""
214688231;214432881;214550432;"H";13;"";"";"";48.1295472196475;15.6197354803663;""
214688232;214432881;214550431;"H";14;"";"";"";48.1248522991104;15.6188012324708;""
214688233;214432881;214550432;"H";15;"";"";"";48.1295472196475;15.6197354803663;""
214688234;214432881;214468092;"H";16;"";"";"";48.1321972917919;15.6193492047941;""
214688235;214432881;214468636;"H";17;"";"";"";48.135075043295;15.6166542589417;""
214688236;214432881;214465222;"H";18;"";"";"";48.1377847785176;15.6144533864956;""
214688237;214432881;214468727;"H";19;"";"";"";48.1384022424213;15.6127196379973;""
214688260;214432881;214468727;"R";1;"";"";"";48.1384022424213;15.6127196379973;""
214688261;214432881;214465222;"R";2;"";"";"";48.1377847785176;15.6144533864956;""
214688262;214432881;214468636;"R";3;"";"";"";48.135075043295;15.6166542589417;""
214688263;214432881;214468092;"R";4;"";"";"";48.1321972917919;15.6193492047941;""
214688264;214432881;214550432;"R";5;"";"";"";48.1295472196475;15.6197354803663;""
214688265;214432881;214550431;"R";6;"";"";"";48.1248522991104;15.6188012324708;""
214688266;214432881;214550432;"R";7;"";"";"";48.1295472196475;15.6197354803663;""
214688267;214432881;214468487;"R";8;"";"";"";48.1319214988042;15.6229424659306;""
214688268;214432881;214468130;"R";9;"";"";"";48.1235990485196;15.6323029111911;""
214688269;214432881;214468129;"R";10;"";"";"";48.1323771559859;15.634288187969;""
214688270;214432881;214469213;"R";11;"";"";"";48.1338700044809;15.637171780031;""
214688271;214432881;214468128;"R";12;"";"";"";48.1389777360724;15.6401991025385;""
214688272;214432881;214468127;"R";13;"";"";"";48.1454575890636;15.6406033444164;""
214688273;214432881;214468126;"R";14;"";"";"";48.1509117803202;15.6417621711329;""
214688274;214432881;214469212;"R";15;"";"";"";48.1556163038065;15.6400194394817;""
214688275;214432881;214468125;"R";16;"";"";"";48.1579893774575;15.6402080856913;""
214688276;214432881;214468152;"R";17;"";"";"";48.1607758010986;15.6384833203458;""
214688277;214432881;214550430;"R";18;"";"";"";48.1598050642344;15.6348810760565;""
214688313;214432883;214467866;"H";1;"";"";"";48.2233196054793;15.6407560580147;""
214688314;214432883;214470710;"H";2;"";"";"";48.2222722482953;15.6386180676384;""
214688315;214432883;214468201;"H";3;"";"";"";48.2226911937406;15.6350068401963;""
214688316;214432883;214468202;"H";4;"";"";"";48.2196567542104;15.6337402156457;""
214688317;214432883;214468203;"H";5;"";"";"";48.2166101635632;15.6317639220206;""
214688318;214432883;214468204;"H";6;"";"";"";48.2152454236935;15.6305961121513;""
214688319;214432883;214468245;"H";7;"";"";"";48.2132281757735;15.6252511362108;""
214688320;214432883;214470716;"H";8;"";"";"";48.2106002469719;15.6269130194864;""
214688321;214432883;214470723;"H";9;"";"";"";48.2086666278167;15.6294552517404;""
214688322;214432883;214463796;"H";10;"";2;"B";48.2076848242007;15.6240833263414;""
214688323;214432883;214463796;"H";11;"";2;"B";48.2076848242007;15.6240833263414;""
214688324;214432883;214466133;"H";12;"";0;"1";48.2055714879257;15.620202604314;""
214688325;214432883;214466131;"H";13;"";0;"1";48.2025719572717;15.6209841386112;""
214688326;214432883;214466262;"H";14;"";"";"";48.200027307533;15.6219902517294;""
214688327;214432883;214466126;"H";15;"";"";"";48.195422667073;15.6223046620788;""
214688328;214432883;214468253;"H";16;"";"";"";48.1931651043808;15.6224843251357;""
214688329;214432883;214466132;"H";17;"";"";"";48.1909912829118;15.6226280555811;""
214688330;214432883;214468194;"H";18;"";"";"";48.1876854603011;15.6227358534152;""
214688331;214432883;214468234;"H";19;"";"";"";48.1854215674557;15.6217566897555;""
214688332;214432883;214468195;"H";20;"";"";"";48.1830617420198;15.6191964911958;""
214688333;214432883;214468196;"H";21;"";"";"";48.1790246313835;15.61924140696;""
214688334;214432883;214470725;"H";22;"";"";"";48.1763170734471;15.6232748425857;""
214688335;214432883;214470755;"H";23;"";"";"";48.1750111647454;15.6248199448744;""
214688336;214432883;214468120;"H";24;"";"";"";48.1716923296607;15.6257721590755;""
214688337;214432883;214468164;"H";25;"";"";"";48.1702904467033;15.6212536331964;""
214688338;214432883;214468147;"H";26;"";"";"";48.16665975116;15.6184868221213;""
214688339;214432883;214468148;"H";27;"";"";"";48.1598949480491;15.618900047152;""
214688340;214432883;214468150;"H";28;"";"";"";48.1569167138203;15.6191066596674;""
214688341;214432883;214470745;"H";29;"";"";"";48.1560298018087;15.6177052878241;""
214688342;214432883;214468149;"H";30;"";"";"";48.1579833849855;15.6180376644793;""
214688376;214432883;214468149;"R";1;"";"";"";48.1579833849855;15.6180376644793;""
214688377;214432883;214468148;"R";2;"";"";"";48.1598949480491;15.618900047152;""
214688378;214432883;214468147;"R";3;"";"";"";48.16665975116;15.6184868221213;""
214688379;214432883;214468164;"R";4;"";"";"";48.1702904467033;15.6212536331964;""
214688380;214432883;214468120;"R";5;"";"";"";48.1716923296607;15.6257721590755;""
214688381;214432883;214470755;"R";6;"";"";"";48.1750111647454;15.6248199448744;""
214688382;214432883;214470725;"R";7;"";"";"";48.1763170734471;15.6232748425857;""
214688383;214432883;214468196;"R";8;"";"";"";48.1790246313835;15.61924140696;""
214688384;214432883;214468195;"R";9;"";"";"";48.1830617420198;15.6191964911958;""
214688385;214432883;214468234;"R";10;"";"";"";48.1854215674557;15.6217566897555;""
214688386;214432883;214468194;"R";11;"";"";"";48.1876854603011;15.6227358534152;""
214688387;214432883;214466132;"R";12;"";"";"";48.1909912829118;15.6226280555811;""
214688388;214432883;214468253;"R";13;"";"";"";48.1931651043808;15.6224843251357;""
214688389;214432883;214466126;"R";14;"";"";"";48.195422667073;15.6223046620788;""
214688390;214432883;214466262;"R";15;"";"";"";48.200027307533;15.6219902517294;""
214688391;214432883;214469222;"R";16;"";"";"";48.202080999399;15.621900420201;""
214688392;214432883;214469223;"R";17;"";"";"";48.2044758713427;15.6222238137033;""
214688393;214432883;214466133;"R";18;"";0;"2";48.2055235926087;15.6203643010651;""
214688394;214432883;214463796;"R";19;"";2;"A";48.2075890374744;15.6240833263414;""
214688395;214432883;214463796;"R";20;"";2;"A";48.2075890374744;15.6240833263414;""
214688396;214432883;214470723;"R";21;"";"";"";48.2086666278167;15.6294552517404;""
214688397;214432883;214470716;"R";22;"";"";"";48.2106002469719;15.6269130194864;""
214688398;214432883;214468245;"R";23;"";"";"";48.2132281757735;15.6252511362108;""
214688399;214432883;214468204;"R";24;"";"";"";48.2152454236935;15.6305961121513;""
214688400;214432883;214468203;"R";25;"";"";"";48.2166101635632;15.6317639220206;""
214688401;214432883;214468202;"R";26;"";"";"";48.2196567542104;15.6337402156457;""
214688402;214432883;214468201;"R";27;"";"";"";48.2226911937406;15.6350068401963;""
